============================
on the qwerty layout
1.0 : hajis hajjis
1.0 : rioting rotting
1.0 : rioting rooting
1.0 : rioting routing
0.83 : doziness coziness
0.81 : rigged figged
0.85 : maul haul
0.89 : preppie owls
1.0 : preppie kaka
0.81 : lush kyat
1.0 : lust kyar
1.0 : pontoon ponton
0.81 : glares blares
0.81 : ball gal
1.0 : ball bal
0.81 : ball gall
0.87 : bale bald
0.81 : bale gale
1.0 : bals balks
1.0 : bals balls
1.0 : bals balds
0.81 : bals galls
1.0 : bals baals
0.81 : bals gals
1.0 : colour color
0.83 : colour dolor
0.83 : colour dolour
0.8 : vocalizes focalizes
1.0 : maggot magot
1.0 : glut shrew
0.81 : glue blue
0.81 : taunt gaunt
0.81 : ballon gallon
1.0 : mura nits
1.0 : mure mute
0.81 : mure bys
1.0 : raging ragging
1.0 : cradling craaling
1.0 : bums mind
1.0 : bruits brits
0.81 : rigging figging
1.0 : tryout trout
0.81 : tryout reif
0.81 : blistering glistering
0.81 : tang gang
1.0 : belaboring belabouring
0.83 : come dome
1.0 : groved grooved
1.0 : piers peers
0.89 : quiver aiver
1.0 : escallops escalops
1.0 : in ex
1.0 : forty diet
1.0 : rattons rations
1.0 : cows chows
0.85 : putty mass
0.85 : putty mas
1.0 : putty pity
1.0 : putty potty
1.0 : putty ort
1.0 : staggers stagers
1.0 : staggery stagey
1.0 : toyers toters
0.81 : toyers goers
1.0 : toyers tooters
0.85 : hawed mawed
0.85 : hawed yawed
1.0 : puton piton
1.0 : canalling canaling
0.85 : wrung sung
1.0 : ensures ensues
1.0 : chorioid choroid
0.87 : fido dusk
1.0 : savories savouries
1.0 : victualed victualled
0.89 : hallos hallow
1.0 : hallos halos
1.0 : creping creeping
0.89 : hallow halos
0.85 : hallow mallow
1.0 : basses bases
0.81 : basses gasses
1.0 : choring choiring
1.0 : choring courting
1.0 : laagered lagered
1.0 : lagers laagers
1.0 : lagers laggers
0.8 : dines cines
1.0 : flavouring flavoring
1.0 : dined dinged
0.85 : mantle hantle
1.0 : topologies typologies
0.87 : jagers naggers
1.0 : jagers jaggers
1.0 : mols molds
0.87 : mole mold
1.0 : coppra copra
0.85 : aghas direr
0.85 : aghas fort
0.81 : balloon galloon
0.81 : baiter gaiter
1.0 : flask flak
0.85 : flash flay
0.85 : flash flam
0.81 : grapy graph
1.0 : felspars feldspars
1.0 : siped sipped
0.85 : burl burro
0.81 : taps gaps
1.0 : retired retied
1.0 : retires reties
1.0 : jam purl
0.87 : jam lek
0.85 : jam pro
0.81 : gathers bathers
0.83 : nock nodi
1.0 : decolours decolors
1.0 : morels motels
1.0 : crepe creepie
1.0 : crepy creepy
0.83 : colt dolt
0.83 : cols dols
1.0 : cols colds
0.83 : cole dole
0.87 : cole cold
0.81 : gassing basing
0.85 : hale male
1.0 : recap redcap
0.85 : halm malm
1.0 : halo hallo
0.87 : skag dowry
0.81 : skag skat
0.87 : jaggs nags
1.0 : jaggs jags
0.87 : el rip
1.0 : et add
1.0 : er wee
1.0 : er ass
1.0 : er op
1.0 : er err
1.0 : er aas
1.0 : er we
1.0 : quart wristy
1.0 : maggots magots
0.81 : sheep wheep
0.81 : sheet whet
0.89 : sops woops
1.0 : savourier savorier
0.81 : sheen wheen
1.0 : courier courtier
1.0 : preens peens
0.85 : hammocks mammocks
0.81 : stash giro
0.85 : stash stay
0.8 : milieux milieus
1.0 : dishlike dislike
1.0 : dishlike disklike
1.0 : ratio rato
1.0 : poussies pussies
1.0 : honours honors
1.0 : seldom selfdom
0.83 : dollops collops
0.81 : shim whim
1.0 : scot scout
1.0 : staring starting
1.0 : popes poppies
0.89 : wounds sounds
0.81 : ship whip
0.81 : tasses gasses
0.87 : wintered sintered
1.0 : measlier mealier
1.0 : read readd
0.85 : hacks yacks
0.85 : hacks macks
0.81 : wherrying sheering
1.0 : outstaring outstarting
1.0 : putter potter
1.0 : putted potted
1.0 : putted pitted
0.81 : ban gan
1.0 : chords cords
1.0 : coking choking
1.0 : sordines sourdines
0.87 : skis clod
1.0 : vert vet
0.87 : skim clon
0.81 : whoppers shoppers
1.0 : whoppers whoopers
0.81 : finable ruinable
1.0 : injure inure
0.85 : fondues rondures
0.85 : marks harks
0.81 : tapeworm gapeworm
1.0 : khadi kadi
0.85 : gash gay
0.85 : gash gam
0.81 : gash bah
0.81 : gash bash
0.81 : gast bast
1.0 : prerequisites perquisites
0.81 : fined ringed
0.81 : fined ruined
0.81 : finer ringer
0.81 : finer ruiner
0.85 : foot tippy
1.0 : pug yea
1.0 : ask wo
1.0 : ask woo
0.89 : ask so
1.0 : ash tip
1.0 : ash tup
1.0 : ash aah
1.0 : ash ah
1.0 : ash top
0.87 : pur is
1.0 : pur oe
0.87 : pur od
0.87 : pur na
1.0 : pur ore
1.0 : pows pews
0.9 : flaming roaming
1.0 : dialist diallist
1.0 : pretty petty
1.0 : trees tees
1.0 : treed teed
1.0 : withe writhe
0.83 : doping coping
0.83 : doping copping
1.0 : rumoring rumouring
0.81 : shat shag
0.81 : shat tori
0.81 : shat what
0.81 : shat torii
0.85 : shay shah
0.85 : shay toro
1.0 : shag tori
1.0 : shag torii
1.0 : shah toro
0.85 : used haws
1.0 : used yaws
1.0 : isotype isotope
1.0 : ensued ensured
1.0 : scoter scorer
1.0 : jumpier jumper
0.85 : slash slay
0.85 : slash slam
1.0 : rum tin
1.0 : rub yon
1.0 : rut you
1.0 : chalot challot
1.0 : toques torques
1.0 : battiks batiks
1.0 : preachers peachers
1.0 : citrous cirrous
1.0 : wearying wearing
0.85 : required faked
0.89 : required faired
0.85 : requires fakes
1.0 : requires requites
0.81 : go too
0.81 : go shh
0.81 : go sh
0.81 : go yup
0.81 : go to
0.81 : go yip
0.81 : go wry
1.0 : ass wee
1.0 : ass op
1.0 : ass err
1.0 : ass aas
1.0 : ass we
0.83 : cozily dozily
1.0 : baron baryon
0.81 : baron garron
1.0 : weepier weeper
1.0 : mopers moppers
1.0 : walled waled
1.0 : clotting clouting
0.8 : focalising vocalising
1.0 : uprearing uptearing
0.87 : clour skite
0.87 : clout adjure
0.81 : clout clog
1.0 : clout clot
0.81 : ricins ficins
1.0 : statutes statures
1.0 : allotypies allotypes
0.87 : purr odd
0.87 : purr lee
1.0 : lagering laagering
1.0 : hippier hipper
0.85 : foiling roiling
1.0 : cadis caddis
1.0 : wading wadding
0.83 : conge done
1.0 : conge cone
0.87 : fells grippe
0.81 : tawsy gawsy
1.0 : sambur sambhur
0.81 : bagged gagged
0.81 : bagged gaged
1.0 : bagged badged
0.8 : civvy divvy
1.0 : chorded corded
1.0 : gallivant galivant
0.85 : yapped happed
0.81 : shinny whinny
1.0 : shh too
1.0 : shh sh
1.0 : shh yup
1.0 : shh to
1.0 : shh yip
1.0 : shh wry
0.85 : yapper happier
1.0 : riped roped
1.0 : ripes ropes
1.0 : riper roper
1.0 : riper ropier
0.8 : owns peke
1.0 : neuron neutron
1.0 : taller taler
0.87 : sighers weighers
0.87 : wooed sled
0.89 : wooer sorer
0.87 : sizes wizes
1.0 : oyes ores
1.0 : oyes oes
0.9 : goats blats
1.0 : chokes cokes
1.0 : choked coked
0.8 : citron diuron
0.87 : winging singing
1.0 : winging wringing
0.81 : whists shists
1.0 : gagger gager
0.81 : gagger tagger
0.81 : gagger badger
1.0 : gagged gaged
0.81 : gagged badged
0.81 : gagged tagged
0.81 : whams shams
1.0 : flanes flanges
1.0 : broncho bronco
1.0 : ripest ropiest
1.0 : crotons croutons
0.85 : malms halms
1.0 : drew hut
0.8 : drek sewn
1.0 : galop gallop
0.85 : maes haes
1.0 : loppers lopers
1.0 : loppers loopers
0.8 : soaking slaking
0.85 : harrowed marrowed
0.85 : lour jus
0.85 : lour kid
1.0 : lour kite
0.87 : ism jab
0.87 : ism pork
1.0 : hoop hop
1.0 : hoop sty
1.0 : hoop art
0.85 : matted hatted
1.0 : steeked streeked
0.85 : matter hatter
1.0 : gimballed gimbaled
1.0 : wrists wists
0.83 : coating doating
0.81 : ridging fidging
0.87 : is oe
1.0 : is od
0.87 : is ore
0.9 : flamed roamed
1.0 : id of
0.85 : id or
1.0 : id us
0.85 : id put
0.85 : id our
0.85 : id ha
0.85 : id pit
0.85 : id pot
1.0 : id ya
1.0 : sporting spring
1.0 : sporting spiring
1.0 : sporting spurring
1.0 : burr mitt
1.0 : bury burry
1.0 : pitons putons
1.0 : belabours belabors
1.0 : pirating prating
1.0 : alerts aglets
1.0 : foemen foremen
0.85 : skid skite
1.0 : erg yuk
0.87 : weir sir
0.87 : weir doit
1.0 : weir ropy
0.87 : weir dot
1.0 : souring sorting
1.0 : balks balls
1.0 : balks balds
0.81 : balks galls
1.0 : balks baals
0.81 : balks gals
1.0 : triter trier
1.0 : paviors paviours
1.0 : excerpted excepted
1.0 : cute cue
0.81 : cute cud
1.0 : cute bout
1.0 : cute bot
1.0 : cute cure
1.0 : galivanting gallivanting
0.85 : harked marked
0.81 : gagging tagging
0.81 : gagging badging
1.0 : gagging gaging
1.0 : rewrites rewires
0.83 : dollop collop
1.0 : tutored tutoyed
0.85 : maziness haziness
0.81 : fills rills
1.0 : sprier sportier
1.0 : sprier spurrier
0.81 : fille rille
1.0 : fervour fervor
1.0 : faquirs faqirs
1.0 : savoring savouring
0.81 : whitest shiest
1.0 : arty gip
0.87 : middle busks
1.0 : devours devoirs
0.83 : coffer doffer
0.81 : gangs bangs
0.81 : gangs tangs
0.87 : sinter winter
1.0 : dipper dippier
1.0 : dipper diopter
0.83 : docks cocks
0.83 : docks chocks
1.0 : negaton negation
0.81 : nosy nosh
1.0 : crouton croton
0.81 : bloats gloats
0.85 : roaming foaming
1.0 : droshkies droskies
1.0 : mornings mournings
1.0 : rewire rewrite
0.81 : toggling goggling
1.0 : scour axite
1.0 : sprit spirit
1.0 : contouring contorting
0.8 : trousseaux trousseaus
0.81 : bloop glop
0.81 : bloom gloom
0.83 : dough chough
0.83 : dough cough
1.0 : clamor clamour
1.0 : betime berime
1.0 : walls walks
1.0 : pirated prated
1.0 : galeas galleass
0.83 : dowsing chowsing
1.0 : kop awee
1.0 : kop awe
1.0 : kop seer
0.81 : baryon garron
1.0 : samburs sambhurs
0.81 : tanged ganged
0.89 : ka os
1.0 : ka ow
1.0 : ka pie
1.0 : ka pe
1.0 : ka pye
0.87 : weigh sigh
1.0 : fruiting fritting
0.89 : airting quirting
1.0 : airting airing
0.89 : airting quiring
1.0 : rancor rancour
0.89 : morrow morros
1.0 : shouting shotting
0.85 : matters hatters
1.0 : limier limiter
1.0 : khats kats
1.0 : bods visa
1.0 : pet poet
1.0 : pet pert
0.89 : pep owl
1.0 : pep peep
1.0 : per owe
1.0 : per kaas
1.0 : per peer
1.0 : per kas
1.0 : per pier
1.0 : ped pied
1.0 : ladder lader
0.81 : riddlers fiddlers
1.0 : galloot galoot
1.0 : coypous coypus
1.0 : ambers ambeers
0.85 : marrowing harrowing
1.0 : pettinesses prettinesses
0.81 : feta lippy
1.0 : metes metres
1.0 : meted metred
1.0 : runs etyma
1.0 : slipping sliping
1.0 : ret try
1.0 : ret ewer
1.0 : ret sad
1.0 : rei trio
1.0 : rei sash
0.85 : rei say
1.0 : ref sax
1.0 : ref oil
1.0 : curer cuter
1.0 : cures cutes
1.0 : prees pees
1.0 : sering seeing
0.85 : hazes mazes
1.0 : notes noes
1.0 : dippier diopter
0.81 : badges gages
1.0 : allonge alone
0.81 : agas gouty
1.0 : agas totty
1.0 : prose porose
1.0 : oops ops
0.81 : gated bated
1.0 : twinges twines
1.0 : trode triode
1.0 : twinged twined
1.0 : insert inset
0.81 : whines shines
0.81 : whiner shiner
1.0 : broche brioche
0.81 : whined shined
1.0 : snapper snappier
1.0 : paned panged
0.85 : bus noir
1.0 : bus mid
0.85 : bus mite
0.85 : bus nor
0.85 : bus mire
1.0 : but bhut
1.0 : bub mim
1.0 : bud nog
0.81 : bud not
0.81 : bud mir
1.0 : street stet
0.81 : sheeter whetter
0.81 : sheeted whetted
1.0 : paty patty
0.81 : toadless goalless
0.85 : ma or
0.85 : ma put
0.85 : ma our
0.85 : ma ha
0.85 : ma pit
0.85 : ma pot
0.87 : weighters sighters
1.0 : mu by
1.0 : my nu
1.0 : pipier piper
0.87 : fado twerp
1.0 : canvased canvassed
1.0 : roose rose
0.81 : filling rilling
1.0 : dawting dawing
0.81 : goa yips
1.0 : gob duc
1.0 : gox fiz
0.81 : got toot
0.81 : got toit
1.0 : got gout
0.81 : got aga
1.0 : got dure
0.81 : got dud
1.0 : got due
0.81 : got tot
0.81 : gor rite
0.81 : gor tour
0.81 : gor tor
1.0 : gor fire
0.85 : hang yang
1.0 : steeps streps
1.0 : steeps steps
1.0 : anopsias anoopsias
0.81 : toon dub
1.0 : toon ton
1.0 : toon rim
1.0 : toom tom
1.0 : toom rib
0.81 : balling galling
1.0 : balling baling
1.0 : taxies taxites
1.0 : beagles beadles
1.0 : soldans solans
0.81 : bladder gladder
1.0 : briony bryony
1.0 : gift staw
0.8 : ich yar
1.0 : cooper copter
0.83 : cooper doper
1.0 : cooper choppier
1.0 : cooper chopper
1.0 : cooper copier
1.0 : cooper copper
1.0 : cooper coper
0.81 : garnishes tarnishes
0.89 : sonders wonders
0.81 : garnished tarnished
1.0 : cauls caulds
1.0 : alga ala
0.9 : alga spew
0.83 : dowering cowering
1.0 : statute statue
1.0 : statute stature
1.0 : lopping looping
1.0 : coopered coppered
1.0 : compeered compered
1.0 : dex kin
1.0 : witting witing
0.87 : witting sitting
0.87 : witting siting
1.0 : witting writing
1.0 : spire spore
1.0 : spirt spurt
1.0 : spirt sport
0.9 : spirt quoter
1.0 : peed preed
1.0 : miring mitring
1.0 : dropper drippier
1.0 : dropped dripped
1.0 : tipper topper
1.0 : tipper tippier
1.0 : tipped topped
1.0 : tipped tupped
1.0 : poet pert
0.87 : weighted sighted
0.87 : weighter sighter
1.0 : coopering coppering
0.83 : choppiest dopiest
1.0 : hug sea
1.0 : hun gym
1.0 : huh awa
0.85 : stolid stoolie
1.0 : certes cetes
1.0 : frit zags
0.89 : wooled soled
0.85 : mapped happed
1.0 : tooling toling
1.0 : byes bytes
1.0 : byes byres
1.0 : unspoilt unspilt
0.83 : color dolor
0.83 : color dolour
1.0 : initialing initialling
1.0 : polo rede
1.0 : poll redd
0.81 : gaited baited
1.0 : antirevolutionary antievolutionary
0.85 : cyanite cyanid
0.81 : gownsman townsman
1.0 : mother mouther
0.87 : aures weird
1.0 : scarriest scariest
1.0 : pew pow
1.0 : pew la
0.85 : of or
1.0 : of us
0.85 : of put
0.85 : of our
0.85 : of ha
0.85 : of pit
0.85 : of pot
1.0 : of ya
0.87 : oe od
0.87 : oe na
1.0 : oe ore
0.87 : od ore
1.0 : oy it
1.0 : oy ye
1.0 : oy piu
1.0 : oy fa
1.0 : oy tew
0.85 : ox os
0.89 : os ow
0.89 : os pie
0.89 : os pe
0.89 : os pye
0.85 : or us
1.0 : or put
1.0 : or our
1.0 : or ha
1.0 : or pit
1.0 : or pot
0.85 : or ya
1.0 : op wee
1.0 : op err
1.0 : op aas
1.0 : op we
1.0 : amber ambeer
0.85 : hazards mazards
0.85 : nitrid nitrite
0.8 : nitrid nitric
1.0 : pes pyes
1.0 : pes pies
1.0 : jus kid
0.85 : jus kite
0.81 : whorts shorts
0.89 : woenesses sorenesses
1.0 : trench tench
0.81 : trench trendy
0.81 : banders ganders
1.0 : direr fort
0.8 : direr citer
1.0 : cheetahs chetahs
1.0 : padles pales
0.85 : malls halls
1.0 : biotype biotope
1.0 : sloop slop
1.0 : orra putts
0.85 : hailing mailing
0.81 : fiar tost
0.81 : whale shale
0.87 : sintering wintering
0.81 : gangling tangling
1.0 : foreman foeman
0.81 : tars gars
0.87 : nailed jailed
0.87 : nailer jailer
1.0 : transshiping transhipping
1.0 : corrody corody
0.85 : hags mags
1.0 : escalloped escaloped
1.0 : puffed pouffed
0.9 : flagless roadless
0.85 : mantles hantles
1.0 : deployed deplored
1.0 : scrapie scrape
0.81 : gables tables
1.0 : potters putters
1.0 : weights wights
0.87 : weights sights
1.0 : weights wrights
0.87 : pyre ods
1.0 : pyre pore
1.0 : pyre pure
1.0 : fog ays
0.85 : fog wud
0.81 : fog sure
0.85 : fog toph
0.81 : blobs globs
0.81 : kris iris
0.9 : oars lars
1.0 : carrom carom
0.83 : cocked docked
0.81 : takings gaskings
1.0 : orangs ourangs
1.0 : makings maskings
0.81 : gagers badgers
0.81 : gagers taggers
1.0 : gagers gaggers
1.0 : misanthropes misanthropies
1.0 : medaled medalled
1.0 : proposing purposing
1.0 : steamy streamy
1.0 : steams streams
1.0 : tended trended
0.81 : gager tagger
0.81 : gager badger
1.0 : roux typic
1.0 : roux topic
1.0 : rout ryot
0.81 : rout wud
0.85 : rout sure
1.0 : rout aahs
0.81 : rout toph
1.0 : rout root
1.0 : rout typy
1.0 : rout riot
0.81 : gaskins takins
1.0 : lumpier lumper
1.0 : wagers waggers
0.87 : weighing sighing
0.87 : winned sinned
1.0 : choiring courting
1.0 : alow allow
1.0 : alow aglow
0.81 : hog hot
1.0 : hog fud
0.89 : now nos
1.0 : nor noir
0.85 : nor mid
1.0 : nor mite
1.0 : nor mire
1.0 : were adds
1.0 : were ads
1.0 : tryouts trouts
1.0 : drop drip
0.87 : toddle risks
1.0 : earrings earings
1.0 : werwolves werewolves
0.89 : owl peep
1.0 : owe kaas
1.0 : owe peer
1.0 : owe kas
1.0 : owe pier
1.0 : hearting hearing
1.0 : four die
1.0 : four for
1.0 : four dire
0.8 : four cite
0.85 : four did
0.85 : four agha
1.0 : outwit outwrit
0.87 : sinking winking
0.81 : brutish brutism
0.81 : toddling godling
0.8 : soave slave
1.0 : coyed coed
1.0 : coyed coted
1.0 : coyed chored
0.83 : coyed doted
0.8 : bromic bromid
0.87 : wicking sicking
1.0 : reword equites
1.0 : get cad
1.0 : unmasker unmaker
1.0 : typed toped
1.0 : typed rows
1.0 : types topes
1.0 : couranto coranto
1.0 : jingal jingall
0.89 : wrought sought
1.0 : throned thronged
1.0 : rins ruins
0.81 : rins fins
0.81 : rins duma
0.81 : shipper whippier
0.81 : shipper whipper
0.81 : shipped whipped
1.0 : lunges lunes
0.85 : trek dash
1.0 : trek dam
0.85 : trek dah
1.0 : tree tee
1.0 : tret pip
1.0 : tret dad
1.0 : spent sprent
1.0 : gript fetor
0.8 : tonneaus tonneaux
1.0 : chording cording
1.0 : hagadic haggadic
1.0 : honouring honoring
1.0 : dots doits
0.83 : dots cots
0.87 : doty queer
1.0 : doty dotty
0.83 : dote chore
0.87 : dote sis
0.83 : dote cote
0.83 : dote core
1.0 : dote doe
0.83 : doth couth
0.81 : gorses torses
1.0 : levering leveeing
0.85 : quire woof
0.85 : quire quid
0.89 : quire sour
1.0 : quire quite
0.89 : quirt airt
0.89 : sod wood
1.0 : sod ais
0.87 : sod sore
0.89 : sol wool
1.0 : son aim
0.89 : son won
0.89 : sos sow
0.89 : sos woos
0.85 : sos sox
0.89 : sos wos
0.89 : sow wow
1.0 : soy ait
0.89 : soy quit
1.0 : kaffirs kafirs
1.0 : cutlas cutlass
0.87 : oreads leads
0.81 : baboon gaboon
1.0 : reverting revetting
1.0 : croppers cruppers
0.9 : roans flans
0.83 : dolts colts
1.0 : spurts sports
0.87 : wicker sicker
0.87 : wicked sicked
1.0 : jingalls jingals
1.0 : savor savour
1.0 : si do
0.83 : si xi
0.87 : si rip
1.0 : sh too
1.0 : sh yup
1.0 : sh to
1.0 : sh yip
1.0 : sh wry
1.0 : clangours clangors
1.0 : tore toe
1.0 : tore tote
0.81 : tore gore
1.0 : tori torii
0.81 : tort firer
1.0 : tors tours
0.85 : torr toff
0.81 : tory gory
1.0 : carcases carcasses
1.0 : calipering callipering
1.0 : err wee
1.0 : err aas
1.0 : err we
1.0 : oped opted
1.0 : ers errs
1.0 : bored views
0.83 : coats doats
0.87 : winters sinters
1.0 : dolor dolour
0.81 : babbles gabbles
0.81 : babbler gabbler
0.81 : filly rilly
1.0 : ferial fetial
1.0 : tenures tenues
0.87 : sites wries
0.87 : sites writes
0.83 : sites chord
0.83 : sites cord
0.87 : sites wites
1.0 : sites sires
0.87 : sites wires
0.87 : sited wired
0.87 : sited wried
0.83 : sited corf
0.87 : sited wited
1.0 : sited sired
1.0 : mane mange
1.0 : caring carting
0.81 : whippings shippings
0.87 : wiring siring
0.81 : barbed garbed
0.81 : shied whited
1.0 : shies shires
0.81 : shies whites
1.0 : her vas
0.85 : roes foes
0.85 : roes fores
1.0 : roes roues
1.0 : roes rotes
0.81 : baffs poyou
0.81 : whir ague
1.0 : roping riping
1.0 : mask keep
0.85 : mash may
0.85 : mash hah
1.0 : mass mas
0.85 : mass pity
0.85 : mass potty
0.85 : mass ort
1.0 : wavery wavey
1.0 : liter lier
1.0 : wriggly wiggly
0.85 : harry marry
0.83 : dodger codger
1.0 : gulfs guls
1.0 : curring curing
1.0 : chields chiels
1.0 : caroming carroming
0.81 : glowing blowing
0.85 : matres hates
1.0 : matres mates
1.0 : pilafs pilaffs
1.0 : dieing dieting
1.0 : haviors haviours
0.81 : finks rinks
0.81 : blueing glueing
0.85 : harrow harls
0.85 : harrow marrow
1.0 : steamiest streamiest
0.85 : found round
0.83 : doses choses
0.87 : doses eroses
0.83 : doses coses
1.0 : toping typing
0.87 : sitting witing
1.0 : sitting siting
0.87 : sitting writing
1.0 : rooted rioted
0.87 : rooted fled
1.0 : rooter rioter
0.87 : rooter fleer
0.85 : rooter foyer
1.0 : jet bad
0.81 : jet gad
0.81 : jeu gag
0.81 : jeu bat
1.0 : jeu bag
1.0 : jee baa
1.0 : cruises crises
1.0 : writes wries
1.0 : writes wites
0.87 : writes sires
1.0 : writes wires
1.0 : writer wirer
1.0 : writer wrier
0.81 : bannet gannet
1.0 : spirits sprits
1.0 : cassinos casinos
1.0 : baring barring
1.0 : swaged swagged
1.0 : swager swagger
1.0 : tipis topis
1.0 : hopers hoopers
1.0 : hopers hoppers
0.81 : euro duro
0.89 : zaires sword
1.0 : lories lorries
1.0 : partying parrying
1.0 : spring spiring
1.0 : spring spurring
1.0 : inthrall inthral
1.0 : kavas kavass
0.85 : didos eidos
1.0 : slopping sloping
1.0 : odor odour
1.0 : kafir kaffir
0.85 : rob fob
1.0 : ut poi
1.0 : ut da
1.0 : ut pi
1.0 : up aff
1.0 : up tui
1.0 : up wet
1.0 : up ti
0.85 : us put
0.85 : us our
0.85 : us ha
0.85 : us pit
0.85 : us pot
1.0 : us ya
1.0 : storing storying
0.81 : rinning finning
0.87 : oyers leers
0.81 : gleet blet
1.0 : wipe aals
0.9 : wipe spue
1.0 : wipe alls
0.83 : copter doper
1.0 : copter choppier
1.0 : copter chopper
1.0 : copter copier
1.0 : copter copper
1.0 : copter coper
1.0 : casino cassino
1.0 : gelds gels
1.0 : fits dura
1.0 : inures injures
1.0 : aff tui
1.0 : aff wet
1.0 : aff ti
1.0 : tonger toner
0.81 : tonger goner
1.0 : snouty snotty
1.0 : snouts snots
1.0 : choses coses
1.0 : recept receipt
1.0 : stokers stookers
0.81 : goner toner
1.0 : mete metre
1.0 : scrapies scrapes
1.0 : put our
1.0 : put ha
1.0 : put pit
1.0 : put pot
0.85 : put ya
1.0 : awee awe
1.0 : awee seer
1.0 : pettier prettier
0.83 : cogging dogging
0.85 : noir mid
1.0 : noir mite
1.0 : noir mire
0.81 : gallying tallying
0.8 : chateaus chateaux
0.81 : basted gasted
0.85 : hajj keto
0.87 : haji hank
1.0 : haji hadji
1.0 : haji hajji
1.0 : sanger saner
0.85 : marsh harsh
1.0 : pein pterin
0.83 : coffs doffs
1.0 : lupus lupous
0.81 : shacks whacks
0.85 : asked quired
0.87 : sises wises
1.0 : baryte barye
1.0 : sepalled sepaled
1.0 : humors humours
1.0 : whopping whooping
0.81 : whopping shopping
0.81 : rifer fifer
0.89 : shoppe agios
1.0 : compute compote
0.81 : townsmen gownsmen
1.0 : tabour tabor
1.0 : rep repp
0.81 : tagging gaging
1.0 : red pol
0.81 : shinnying whinnying
1.0 : receipts recepts
0.83 : congee donee
0.81 : talipot galipot
0.81 : talipot gallipot
0.83 : cowries dowries
1.0 : cuties cutties
1.0 : enamor enamour
1.0 : thegn then
1.0 : sandaling sandalling
1.0 : crepiest creepiest
0.8 : adieux adieus
1.0 : sameks samekhs
0.83 : doped cooped
0.83 : doped coopted
0.83 : doped copied
0.83 : doped chopped
0.83 : doped copped
0.83 : doped coped
0.83 : dopey coppery
0.83 : dopes copes
0.83 : dopes copies
0.83 : doper choppier
0.83 : doper chopper
0.83 : doper copier
0.83 : doper copper
0.83 : doper coper
0.81 : gores toes
0.81 : gores tores
0.81 : gores totes
0.81 : gored toted
0.81 : gored toyed
0.87 : gored bled
0.81 : gored tooted
0.81 : gobies tobies
1.0 : covering coveting
0.81 : gaud baud
1.0 : bringers briners
1.0 : wo woo
0.89 : wo so
0.81 : ogrish ogrism
0.8 : foes voes
1.0 : foes fores
0.8 : foes votes
0.85 : foes roues
0.85 : foes rotes
0.81 : brag brat
0.81 : gable table
0.81 : garnishing tarnishing
1.0 : topical typical
1.0 : wealds weals
0.89 : aim won
0.8 : voes fores
1.0 : voes votes
0.89 : aid woof
0.89 : aid quid
0.85 : aid sour
1.0 : moping mopping
1.0 : atopic atypic
0.85 : eying ding
1.0 : view bore
0.87 : view vis
1.0 : charing charting
0.81 : plenism plenish
0.85 : eight dight
0.85 : hazers mazers
0.81 : fibbers ribbers
1.0 : topped tupped
1.0 : topper tippier
0.83 : doits cots
1.0 : teeing treeing
0.83 : cobbers dobbers
1.0 : crappier crapper
1.0 : wolfs wolds
1.0 : wolfs wools
0.89 : wolfs sols
1.0 : cutey virtu
0.8 : reseaus reseaux
1.0 : worshiped worshipped
0.81 : irone krone
1.0 : worshiper worshipper
0.81 : jingoism jingoish
0.85 : quay quash
0.85 : haslets mallets
1.0 : quag wish
1.0 : siping sipping
1.0 : snottiest snoutiest
0.87 : aura writs
1.0 : aura sits
1.0 : sadly sally
1.0 : ruby yoni
0.81 : toby goby
1.0 : petter peter
1.0 : paliest palliest
0.8 : cisco disco
1.0 : knouts knots
0.89 : wold sold
1.0 : earring earing
0.85 : yammerer hammerer
0.8 : soakers slakers
1.0 : arises arrises
1.0 : cheeros cheerios
0.9 : laves oaves
1.0 : laver laveer
0.81 : toys goys
0.85 : mazard hazard
1.0 : agraffes agrafes
1.0 : maffias mafias
0.83 : conation donation
1.0 : ye it
1.0 : ye piu
1.0 : ye fa
1.0 : ye tew
0.81 : ifs outre
0.85 : hales males
1.0 : signaling signalling
0.81 : droit serif
1.0 : dialists diallists
0.85 : mack hack
1.0 : wriggle wiggle
1.0 : hadjes hajjes
1.0 : hadjes hajes
1.0 : totalling totaling
1.0 : totting touting
1.0 : totting tooting
1.0 : totting toting
1.0 : totting toiting
1.0 : stopes stipes
1.0 : stopes stupes
1.0 : spotting spitting
1.0 : spotting spiting
1.0 : yowe upper
1.0 : look dees
1.0 : loop lop
1.0 : loop deer
1.0 : kepping keeping
1.0 : marrons maroons
0.87 : chore xis
1.0 : chore cote
0.87 : chore cod
1.0 : chore core
0.83 : chore doe
1.0 : chord cord
0.83 : chord sires
1.0 : longers loners
0.81 : shirred whirred
0.87 : resole resold
1.0 : microscopies microscopes
1.0 : lingers liners
1.0 : step strep
1.0 : stew fur
1.0 : stew hoy
1.0 : stew dye
1.0 : stew git
0.9 : lasts oasts
1.0 : toppled tippled
0.81 : shine whine
0.81 : shins whins
0.81 : shiny whiny
0.85 : hares mares
1.0 : vavasor vavasour
0.89 : sounded wounded
0.83 : cod sis
1.0 : cod xis
0.87 : cod cote
0.87 : cod core
0.83 : cozened dozened
0.83 : brooch broody
0.83 : brooch verist
0.87 : win sin
0.87 : wit sit
1.0 : wit writ
0.87 : wis sis
