============================
on the qwerty layout
1.0 : clamoring clamouring
1.0 : coopers copers
1.0 : coopers choppers
1.0 : coopers copters
0.83 : coopers dopers
1.0 : coopers coppers
1.0 : coopers copiers
0.83 : coopery dopey
1.0 : coopery coppery
0.85 : mate hate
1.0 : porns pirns
1.0 : sodomites sodomies
1.0 : crupper cropper
1.0 : totaled totalled
1.0 : rationed ratooned
1.0 : souths soths
1.0 : dogy sift
1.0 : petaled petalled
0.87 : guild guile
1.0 : cadgy cagy
1.0 : cadge cage
1.0 : alodia allodia
0.81 : blazers glazers
0.85 : mallows hallows
0.81 : tone gone
0.81 : tong gong
1.0 : tons toons
1.0 : vavassor vavasor
1.0 : vavassor vavasour
1.0 : armours armors
0.85 : hap yap
0.85 : hap map
1.0 : armoury armory
1.0 : gnu ace
0.81 : ducting eructing
1.0 : potion puton
1.0 : potion piton
0.85 : fuse chaw
0.81 : tabling gabling
0.9 : wops alfa
0.9 : wops alga
0.9 : wops ala
0.81 : wops spew
1.0 : outserts outsets
1.0 : pourers pouters
1.0 : cirrus citrus
0.85 : mazer hazer
1.0 : caliper calliper
0.85 : mazed hazed
1.0 : calipee callipee
1.0 : tenour tenor
1.0 : dalles dales
0.85 : hanking yanking
1.0 : antres antes
1.0 : peeries perries
1.0 : alant aslant
1.0 : alane alkane
1.0 : corrodies corodies
1.0 : gum hin
1.0 : alfa alga
1.0 : alfa ala
0.9 : alfa spew
1.0 : streeking steeking
0.89 : soke woke
0.8 : chic chid
1.0 : charring charing
1.0 : charring charting
1.0 : yeas pugh
0.81 : gaffs baffs
1.0 : gaffs poyou
1.0 : dripper dropper
1.0 : dripper drippier
1.0 : raper rapier
1.0 : thegns thens
1.0 : snorting snoring
1.0 : scaring scarting
1.0 : scaring scarring
0.83 : dowses chowses
1.0 : armouries armories
0.81 : baits gaits
0.83 : colours dolors
0.83 : colours dolours
1.0 : colours colors
0.81 : basifies gasifies
1.0 : dues dures
0.85 : yammering hammering
1.0 : pester prester
1.0 : dottrels dottels
0.83 : codder dodder
1.0 : charkas charkhas
0.81 : euros duros
1.0 : dits sura
1.0 : dits sutra
0.85 : dite aha
1.0 : dite die
1.0 : dite four
1.0 : dite for
1.0 : dite dire
0.8 : dite cite
0.85 : dite did
0.85 : dite agha
1.0 : dita foys
0.85 : hangers mangers
0.85 : overbite overbid
1.0 : pickeer picker
0.83 : colly dolly
1.0 : poop sass
1.0 : poop pop
1.0 : poop ewe
1.0 : pool reed
1.0 : cored coyed
1.0 : cored coed
1.0 : cored coted
1.0 : cored chored
0.83 : cored doted
0.83 : corer doter
0.83 : corer doer
1.0 : corer coyer
0.83 : cores dotes
0.83 : cores does
1.0 : cores cotes
1.0 : cores chores
1.0 : streets stets
1.0 : cues cures
1.0 : cues cutes
1.0 : cued cured
0.85 : marring haring
1.0 : marring marting
1.0 : peised poetised
1.0 : peises poetises
1.0 : sheiks sheikhs
1.0 : sherberts sherbets
1.0 : shrimpier shrimper
1.0 : purring porting
1.0 : purring prying
1.0 : purring poring
1.0 : abators abattoirs
1.0 : mites mires
0.85 : maulers haulers
0.85 : mazinesses hazinesses
1.0 : beadlike beaklike
1.0 : mooed mooted
1.0 : mooed moored
1.0 : yows upped
1.0 : faggoting fagoting
0.81 : arks store
1.0 : competing compering
1.0 : stivers stuivers
0.81 : shinnies whinnies
1.0 : rancors rancours
1.0 : honour honor
0.81 : wheals sheals
0.81 : shinier whinier
1.0 : berrettas berettas
0.85 : furrow furls
1.0 : piassabas piasabas
1.0 : coypu coypou
1.0 : pipped piped
1.0 : covets coverts
0.85 : hazier mazier
1.0 : clamours clamors
0.81 : blowflies glowflies
1.0 : galiots galliots
0.83 : conning donning
1.0 : casking caking
1.0 : meet met
0.81 : sheeters whetters
1.0 : scoop scop
1.0 : pitheads potheads
1.0 : bio mop
0.9 : oast last
1.0 : galiot galliot
0.81 : bloat gloat
0.81 : rilled filled
0.81 : rillet fillet
0.81 : bladed gladded
0.9 : bladed goaded
0.81 : blades glades
1.0 : isotypes isotopes
1.0 : isotypes isotopies
1.0 : tyre tye
1.0 : tyre uit
1.0 : dialling dialing
1.0 : keg mac
0.85 : kef pith
0.85 : kea ors
0.85 : kea ours
1.0 : kep mask
1.0 : kep keep
1.0 : baryes barytes
1.0 : forestal forestall
0.81 : goring touring
1.0 : colouring coloring
0.81 : rife fife
1.0 : pussleys pusleys
0.81 : gaffed baffed
1.0 : rots riots
1.0 : rots roots
1.0 : rots routs
0.87 : rote rood
0.87 : rote rod
1.0 : rote roue
1.0 : rote roe
0.85 : rote foe
0.85 : rote fore
0.81 : glare blare
1.0 : polytene polyene
0.85 : hammals mammals
1.0 : lagger lager
1.0 : lagger laager
0.81 : gait bait
1.0 : writher wither
1.0 : writhes withes
0.81 : gain tain
0.87 : wince since
0.85 : haring marting
0.81 : winch windy
0.85 : foil roil
0.81 : swab swag
0.85 : swam swash
0.87 : sines wines
1.0 : sines singes
0.81 : swat swag
0.89 : sorry quiet
0.89 : sorry worry
0.85 : sway swash
1.0 : cadging caging
1.0 : peached preached
0.85 : fyke gulf
0.85 : room dib
1.0 : trots tryouts
1.0 : trots trouts
0.83 : rood roc
1.0 : rood rod
0.87 : rood roue
0.87 : rood roe
0.85 : shaw toft
0.87 : widdles sidles
1.0 : crew mut
1.0 : shad tory
0.81 : shad gory
0.81 : glazes blazes
0.81 : glazer blazer
0.81 : glazed blazed
0.85 : eyas titer
0.85 : eyas tier
0.85 : eyas uppity
0.85 : sham shah
0.85 : sham toro
0.81 : sham wham
0.89 : aids quids
1.0 : nerts netts
1.0 : nerts nets
1.0 : underrate underate
0.8 : diurons citrons
1.0 : succors succours
0.85 : harrows marrows
0.85 : harrows yarrows
0.85 : halenesses malenesses
0.89 : sorts worts
1.0 : pallets palets
0.81 : motte biffs
0.81 : motto birk
1.0 : isotopes isotopies
1.0 : asks wrote
1.0 : asks wore
0.87 : asks wood
1.0 : asks woe
0.89 : asks sore
0.81 : toadlike goadlike
1.0 : craaled cradled
1.0 : sewar drest
0.81 : fighters righters
0.85 : fake requite
0.85 : fake require
0.85 : dingoes eringoes
0.87 : dows riped
0.87 : dows roped
0.83 : dows cows
0.83 : dows chows
1.0 : outrivaled outrivalled
0.8 : priedieus priedieux
1.0 : whiskey whiskery
1.0 : greeing greying
0.85 : turgid turgite
1.0 : instals installs
0.85 : box bos
0.85 : box via
1.0 : boy cur
0.89 : bos bow
1.0 : bos via
0.89 : bow via
0.87 : bod view
0.87 : bod bore
1.0 : bod vis
0.81 : bog cute
0.81 : bog cue
1.0 : bog cud
0.81 : bog bout
0.81 : bog bot
0.81 : bog cure
0.87 : ripcord doxies
0.8 : fuck fuci
0.81 : baboons gaboons
0.81 : krater irater
0.87 : ajar wrist
0.87 : ajar wist
1.0 : outpitying outputting
1.0 : biassing biasing
1.0 : fleeing fleying
1.0 : meeters meters
1.0 : fagging fadging
1.0 : combatting combating
0.85 : hailer mailer
0.85 : hailed mailed
1.0 : gel can
1.0 : vita boys
0.89 : wonder sonder
1.0 : capuches capouches
1.0 : streaming steaming
0.81 : tout got
1.0 : tout toot
1.0 : tout toit
0.81 : tout gout
1.0 : tout aga
0.81 : tout dure
0.81 : tout due
1.0 : tout tot
0.81 : tout tog
1.0 : quatre quate
1.0 : potterers putterers
1.0 : paring parring
1.0 : paring parting
1.0 : cotton coition
1.0 : flavor flavour
1.0 : gaddis gadis
0.83 : dock chock
0.83 : dock cock
0.85 : halid halite
1.0 : teff pill
1.0 : toners tongers
0.81 : toners goners
1.0 : west weest
1.0 : shuting shutting
0.85 : requirers fakeers
1.0 : requirers requiters
0.81 : whippers shippers
1.0 : lues lutes
1.0 : lues lures
1.0 : requirer requiter
0.89 : requirer fairer
0.85 : requirer fakeer
0.85 : requirer faker
0.89 : burrow burros
0.85 : burrow burls
0.9 : oases lases
0.9 : oases lasses
1.0 : motel morel
0.83 : cogged dogged
1.0 : puffs pouffs
0.81 : righter fighter
0.85 : redos redox
0.81 : fivers rivers
1.0 : outwore outwrote
1.0 : chafing chaffing
0.87 : torero risk
0.89 : aria stow
1.0 : bruins brins
0.85 : hour gid
1.0 : hour gie
0.85 : halts malts
0.85 : maps haps
1.0 : baas bass
0.81 : baas gas
1.0 : baas bas
1.0 : baas jeer
1.0 : baal ball
0.81 : baal gal
1.0 : baal bal
0.81 : baal gall
1.0 : worshiping worshipping
1.0 : gropes gripes
1.0 : groper griper
1.0 : groper gripier
1.0 : groped griped
0.81 : tameness gameness
1.0 : perry peery
1.0 : lyres lyes
0.8 : synergic synergid
0.81 : tog toot
0.81 : tog toit
0.81 : tog aga
0.81 : tog dud
0.81 : tog tot
0.87 : tod tore
0.87 : tod toe
0.87 : tod tote
0.81 : tod god
0.81 : fillets rillets
1.0 : chary charry
0.85 : chart fusty
1.0 : chock cock
0.9 : flams roams
0.81 : bloated gloated
0.81 : bloater gloater
1.0 : sparring sparing
1.0 : point pint
0.85 : fused chaws
1.0 : appals appalls
1.0 : peppers peepers
1.0 : faceted facetted
1.0 : riddling ridgling
0.81 : riddling fiddling
1.0 : strips strops
0.81 : whores shores
0.81 : whores shoes
0.81 : whores shotes
0.81 : whored shoed
0.81 : whored shored
1.0 : tiff rudd
1.0 : pickers pickeers
1.0 : aggers agers
1.0 : scandaling scandalling
1.0 : stripped stropped
0.85 : curl curio
1.0 : bettas betas
1.0 : cookey cookery
0.81 : whiting shitting
1.0 : latices lattices
1.0 : spirts spurts
1.0 : spirts sports
1.0 : streeks steeks
0.85 : havens mavens
1.0 : fervours fervors
1.0 : drops drips
0.85 : hammered mammered
0.85 : hammered yammered
1.0 : measliest mealiest
1.0 : havior haviour
0.89 : aitches quitches
0.81 : rices fices
0.83 : chouse douse
0.87 : siver wiver
0.85 : hashed mashed
0.85 : yard hard
0.85 : yare hare
1.0 : whoop whop
0.81 : whoop agio
0.81 : whoop shop
1.0 : seines serines
0.87 : wits aura
1.0 : wits writs
0.87 : wits sits
1.0 : beets bets
0.87 : wite sire
0.87 : wite dour
1.0 : wite write
0.87 : wite site
0.87 : wite dor
0.87 : wite elf
1.0 : wite wire
0.81 : whiniest shiniest
1.0 : sporing spirting
1.0 : sporing sporting
1.0 : sporing spring
1.0 : sporing spiring
1.0 : sporing spurring
1.0 : tripe trope
0.85 : haleness maleness
1.0 : statues statutes
1.0 : statues statures
0.87 : weigher sigher
0.81 : gasifiers basifiers
0.87 : weighed sighed
0.81 : whirr whiff
0.81 : whirr shirr
0.81 : garish tartish
0.81 : cuteys virtue
0.85 : hazing mazing
0.85 : hail mail
0.85 : hair mair
0.87 : cloy skit
1.0 : purism prism
1.0 : purism porism
1.0 : charka charkha
1.0 : touted toited
1.0 : coke choke
1.0 : tewed tweed
0.85 : harrier marrier
0.85 : harries marries
0.87 : nail jail
0.8 : sylphic sylphid
1.0 : prate pirate
1.0 : riots roots
1.0 : riots routs
0.83 : coffing doffing
0.9 : roamers flamers
1.0 : topographical typographical
0.83 : chousing dousing
0.87 : amis snore
1.0 : amir snout
1.0 : amir snot
0.81 : blots glouts
1.0 : hiccupped hiccuped
0.89 : wowed sowed
0.81 : gowns towns
0.83 : coyest doest
0.85 : doff dorr
0.85 : doff siree
0.81 : mud mure
0.81 : mud mute
1.0 : mud bys
1.0 : finger finer
0.81 : finger ringer
0.81 : finger ruiner
0.87 : elm wig
1.0 : bet beet
1.0 : pedaling pedalling
1.0 : tripes tropes
1.0 : chasses chases
0.83 : cozinesses dozinesses
1.0 : excerpt except
1.0 : khaki kaki
0.81 : duke agma
0.85 : aha die
0.85 : aha four
0.85 : aha for
0.85 : aha roof
0.85 : aha dire
1.0 : aha agha
0.83 : roc rod
0.87 : rod roue
0.87 : rod roe
0.85 : rot sue
1.0 : rot rout
1.0 : rot ryot
0.81 : rot wud
0.85 : rot sure
1.0 : rot aahs
0.81 : rot toph
1.0 : rot root
1.0 : rot typy
1.0 : rot riot
1.0 : row tope
1.0 : row type
1.0 : pedlers peddlers
1.0 : goes gores
0.81 : goes toes
0.81 : goes tores
0.81 : goes totes
0.89 : requiter fairer
0.85 : requiter fakeer
0.85 : requiter faker
1.0 : spued sped
0.9 : spued wiped
1.0 : spued spied
1.0 : requited required
0.85 : requited faked
0.89 : requited faired
1.0 : hadj hajj
0.85 : hadj keto
1.0 : khadis kadis
1.0 : pree pee
1.0 : prep pep
0.89 : prep owl
1.0 : prep peep
1.0 : fruiter frier
1.0 : meeter meter
1.0 : fruited fried
1.0 : fourth forth
0.85 : eights dights
1.0 : uteri gash
0.85 : uteri gay
0.85 : uteri gam
0.81 : uteri bah
0.81 : uteri bash
1.0 : sorties sorites
0.89 : sorties worries
0.85 : hanks yanks
0.89 : sortied worrited
0.89 : sortied worried
0.83 : dopier cooper
0.83 : dopier copter
1.0 : dopier doper
0.83 : dopier choppier
0.83 : dopier chopper
0.83 : dopier copier
0.83 : dopier copper
0.83 : dopier coper
0.83 : choused doused
0.83 : chouser douser
0.83 : chouses douses
1.0 : teepees tepees
1.0 : batting bating
0.81 : batting gating
1.0 : pieplant preplant
1.0 : anopsia anoopsia
1.0 : insets inserts
1.0 : pores pyres
1.0 : chaloth challoth
1.0 : trot tryout
1.0 : trot trout
0.81 : trot reif
0.87 : written sitten
1.0 : jereed jerreed
1.0 : respiring respring
